credit_duration(month),credit_amount,duration_of_current_employment,installment_percent,guarantors,duration_in_current_address,age,concurrent_credits,no_of_credits_at_the_bank,no_of_dependents,telephone,account_type,payment_status_of_previous_loan,loan_purpose,savings_type,marital_status,most_valuable_asset,type_of_apartment,occupation,foreign_worker,label
18,1049,2,4,1,4,21,3,1,1,1,savings,paid,travel and vacations,high-yield savings accounts,divorced,intellectual property,two or multi-bedroom apartment,service and sales,no,0
9,2799,3,2,1,2,36,3,2,2,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,human capital,two or multi-bedroom apartment,service and sales,no,0
12,841,4,2,1,4,23,3,1,1,1,current,opted to pay,student loan,individual retirement accounts,divorced,human capital,two or multi-bedroom apartment,skilled trades and technical,no,0
12,2122,3,3,1,2,39,3,2,2,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,human capital,two or multi-bedroom apartment,skilled trades and technical,yes,0
12,2171,3,4,1,4,38,1,2,1,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,intellectual property,one-bedroom apartment,skilled trades and technical,yes,0
10,2241,2,1,1,3,48,3,2,2,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,human capital,two or multi-bedroom apartment,skilled trades and technical,yes,0
8,3398,4,1,1,4,39,3,2,1,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,yes,0
6,1361,2,2,1,4,40,3,1,2,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,yes,0
18,1098,1,4,1,4,65,3,2,1,1,corporate,paid,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,manufacturing and production,no,0
24,3758,1,1,1,4,23,3,1,1,1,current,opted to pay,investments for future,money market accounts,divorced,financial assets,two or multi-bedroom apartment,manufacturing and production,no,0
11,3905,3,2,1,2,36,3,2,2,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,human capital,two or multi-bedroom apartment,service and sales,no,0
30,6187,4,1,1,4,24,3,2,1,1,savings,paid,weddings,individual retirement accounts,single,real property,two or multi-bedroom apartment,service and sales,no,0
6,1957,4,1,1,4,31,3,1,1,1,savings,paid,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
48,7582,1,2,1,4,31,3,1,1,2,current,partly paid,purchasing a home,individual retirement accounts,married,financial assets,one-bedroom apartment,professional and managerial,no,0
18,1936,4,2,1,4,23,3,2,1,1,savings,opted to pay,investments for future,savings account,single,real property,two or multi-bedroom apartment,skilled trades and technical,no,0
6,2647,3,2,1,3,44,3,1,2,1,savings,opted to pay,investments for future,money market accounts,married,human capital,two or multi-bedroom apartment,service and sales,no,0
11,3939,3,1,1,2,40,3,2,2,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
18,3213,2,1,1,3,25,3,1,1,1,current,opted to pay,investments for future,money market accounts,single,human capital,two or multi-bedroom apartment,service and sales,no,0
36,2337,5,4,1,4,36,3,1,1,1,current,paid,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
11,7228,3,1,1,4,39,3,2,1,1,corporate,paid,purchase a vehicle,high-yield savings accounts,married,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
6,3676,3,1,1,3,37,3,3,2,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,human capital,two or multi-bedroom apartment,service and sales,no,0
12,3124,2,1,1,3,49,1,2,2,1,current,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
36,2384,2,4,1,1,33,3,1,1,1,current,opted to pay,consolidating debt,high-yield savings accounts,married,financial assets,two or multi-bedroom apartment,skilled trades and technical,no,1
12,1424,4,4,1,3,26,3,1,1,1,current,paid,emergency medical bills,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
6,4716,2,1,1,3,44,3,2,2,1,savings,paid,purchase a vehicle,savings account,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
11,4771,4,2,1,4,51,3,1,1,1,current,partly paid,investments for future,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
12,652,5,4,1,4,24,3,1,1,1,savings,opted to pay,travel and vacations,high-yield savings accounts,divorced,intellectual property,two or multi-bedroom apartment,service and sales,no,0
9,1154,5,2,1,4,37,3,3,1,1,current,paid,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
15,3556,3,3,1,2,29,3,1,1,1,corporate,opted to pay,purchase a vehicle,savings account,married,financial assets,one-bedroom apartment,service and sales,no,0
42,4796,5,4,1,4,56,3,1,1,1,entrepreneur,paid,weddings,high-yield savings accounts,married,financial assets,studio apartment,service and sales,no,0
30,3017,5,4,1,4,47,3,1,1,1,entrepreneur,paid,investments for future,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
36,3535,4,4,1,4,37,3,2,1,2,corporate,paid,purchase a vehicle,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
36,6614,5,4,1,4,34,3,2,1,2,corporate,paid,purchase a vehicle,high-yield savings accounts,married,real property,one-bedroom apartment,professional and managerial,no,0
24,1376,4,4,1,1,28,3,1,1,1,corporate,opted to pay,investments for future,money market accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
15,1721,2,2,1,3,36,3,1,1,1,savings,opted to pay,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
6,860,5,1,1,4,39,3,2,1,2,savings,paid,purchase a vehicle,high-yield savings accounts,divorced,financial assets,one-bedroom apartment,service and sales,no,0
12,1495,5,4,1,1,38,3,2,2,1,corporate,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
12,1934,5,2,1,2,26,3,2,1,1,corporate,paid,investments for future,high-yield savings accounts,married,financial assets,one-bedroom apartment,service and sales,no,0
18,3378,3,2,1,1,31,3,1,1,2,corporate,opted to pay,weddings,savings account,married,intellectual property,one-bedroom apartment,service and sales,no,0
24,3868,5,4,1,2,41,3,2,1,2,corporate,paid,weddings,high-yield savings accounts,divorced,real property,two or multi-bedroom apartment,professional and managerial,no,0
12,996,4,4,1,4,23,3,2,1,1,corporate,paid,consolidating debt,savings account,divorced,human capital,one-bedroom apartment,service and sales,no,0
24,1755,5,4,3,4,58,3,1,1,2,savings,opted to pay,purchasing a home,high-yield savings accounts,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
18,1028,3,4,1,3,36,3,2,1,1,corporate,paid,purchase a vehicle,high-yield savings accounts,divorced,human capital,one-bedroom apartment,service and sales,no,0
24,2825,4,4,1,3,34,3,2,2,2,current,paid,student loan,savings account,married,financial assets,one-bedroom apartment,service and sales,no,0
18,1239,3,4,1,4,61,3,1,1,1,current,opted to pay,home repairs,savings account,married,financial assets,studio apartment,service and sales,no,0
18,1216,2,4,1,3,23,3,1,1,2,savings,opted to pay,purchase a vehicle,high-yield savings accounts,divorced,real property,two or multi-bedroom apartment,service and sales,no,1
24,1258,4,4,1,1,25,3,1,1,2,corporate,opted to pay,student loan,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
18,1864,3,4,1,2,30,3,2,1,1,corporate,paid,home repairs,individual retirement accounts,divorced,human capital,one-bedroom apartment,service and sales,no,1
24,1474,2,4,1,3,33,3,1,1,2,corporate,opted to pay,purchase a vehicle,individual retirement accounts,single,human capital,one-bedroom apartment,service and sales,no,0
24,1382,4,4,1,1,26,3,2,1,2,savings,paid,student loan,individual retirement accounts,married,human capital,one-bedroom apartment,service and sales,no,0
12,640,3,4,1,2,49,3,1,1,1,corporate,opted to pay,purchase a vehicle,high-yield savings accounts,widowed,human capital,one-bedroom apartment,skilled trades and technical,no,0
36,3919,3,2,1,2,23,3,1,1,2,entrepreneur,opted to pay,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
9,1224,3,3,1,1,30,3,2,1,1,corporate,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
12,2331,5,1,2,4,49,3,1,1,2,corporate,paid,investments for future,savings account,married,human capital,one-bedroom apartment,service and sales,no,0
24,6313,5,3,1,4,41,3,1,2,2,corporate,opted to pay,weddings,savings account,married,real property,one-bedroom apartment,professional and managerial,no,0
12,385,4,4,1,3,58,3,4,1,2,savings,paid,investments for future,high-yield savings accounts,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
12,1655,5,2,1,4,63,3,2,1,2,corporate,paid,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
15,1053,2,4,1,2,27,3,1,1,1,savings,opted to pay,investments for future,high-yield savings accounts,single,human capital,one-bedroom apartment,service and sales,yes,0
21,3160,5,4,1,3,41,3,1,1,2,corporate,opted to pay,investments for future,savings account,married,intellectual property,one-bedroom apartment,service and sales,no,0
36,3079,3,4,1,4,36,3,1,1,1,corporate,opted to pay,purchase a vehicle,savings account,married,human capital,one-bedroom apartment,service and sales,no,0
12,1163,3,4,1,4,44,3,1,1,2,corporate,paid,purchase a vehicle,money market accounts,married,human capital,one-bedroom apartment,service and sales,no,0
24,2679,2,4,1,1,29,3,1,1,2,corporate,opted to pay,weddings,high-yield savings accounts,divorced,financial assets,one-bedroom apartment,professional and managerial,no,0
48,3578,5,4,1,1,47,3,1,1,2,corporate,paid,investments for future,savings account,married,human capital,one-bedroom apartment,service and sales,no,0
36,10875,5,2,1,2,45,3,2,2,2,corporate,partly paid,purchase a vehicle,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
12,1344,3,4,1,2,43,3,2,2,1,savings,partly paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
6,1237,3,1,1,1,27,3,2,1,1,corporate,paid,investments for future,individual retirement accounts,divorced,intellectual property,one-bedroom apartment,service and sales,no,0
